k t J res re2 iterationGibbs time J1 J2 J3
 104 2.121555e+05 -1.184628e-03 5.354539e-06 3.311196e-03 1 1.335781e+00 -2.810347e-03 7.694323e+01 2.074777e-01 
 105 7.955832e+04 -1.184628e-03 1.179825e-05 2.735973e-03 1 3.322174e+00 -2.810344e-03 7.694328e+01 2.074766e-01 
 106 1.193375e+05 -1.184628e-03 7.024720e-06 2.443512e-03 1 1.999956e+00 -2.810336e-03 7.694367e+01 2.074725e-01 
 107 8.950311e+04 -1.184628e-03 8.575153e-06 2.237116e-03 1 2.730321e+00 -2.810336e-03 7.694367e+01 2.074726e-01 
 108 1.342547e+05 -1.184628e-03 6.760719e-06 2.645640e-03 1 2.203113e+00 -2.810329e-03 7.694405e+01 2.074688e-01 
 109 1.006910e+05 -1.184628e-03 9.713619e-06 2.850888e-03 1 2.671827e+00 -2.810329e-03 7.694414e+01 2.074686e-01 
 110 7.551825e+04 -1.184628e-03 9.382634e-06 2.065310e-03 1 2.588450e+00 -2.810320e-03 7.694468e+01 2.074637e-01 
 111 2.265547e+05 -1.184628e-03 6.073436e-06 4.010663e-03 1 1.247324e+00 -2.810322e-03 7.694476e+01 2.074638e-01 
 112 8.495803e+04 -1.184628e-03 1.508738e-05 3.736171e-03 1 3.219642e+00 -2.810309e-03 7.694600e+01 2.074549e-01 
 113 2.548741e+05 -1.184628e-03 1.483072e-05 1.077113e-02 3 1.316934e+00 -2.810313e-03 7.694644e+01 2.074544e-01 
 114 9.557778e+04 -1.184630e-03 3.405947e-05 9.488626e-03 1 3.143127e+00 -2.810293e-03 7.695096e+01 2.074300e-01 
 115 7.168334e+04 -1.184630e-03 2.886306e-05 6.030720e-03 1 2.623134e+00 -2.810307e-03 7.695040e+01 2.074365e-01 
 116 1.075250e+05 -1.184631e-03 1.242851e-05 3.895266e-03 1 1.960239e+00 -2.810290e-03 7.695089e+01 2.074292e-01 
 117 8.064376e+04 -1.184631e-03 1.278621e-05 3.005530e-03 1 2.485889e+00 -2.810291e-03 7.695041e+01 2.074312e-01 
 118 1.209656e+05 -1.184631e-03 8.330754e-06 2.937344e-03 1 1.768665e+00 -2.810281e-03 7.695059e+01 2.074273e-01 
 119 9.072423e+04 -1.184631e-03 9.763215e-06 2.581812e-03 1 2.675601e+00 -2.810279e-03 7.695026e+01 2.074281e-01 
 120 1.360863e+05 -1.184631e-03 7.862053e-06 3.118595e-03 1 1.829910e+00 -2.810270e-03 7.695037e+01 2.074248e-01 
